# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.703 us    |          } /* unlock_page */
 0) + 31.532 us   |        } /* filemap_map_pages */
 0) + 32.462 us   |      } /* do_read_fault.isra.54 */
 0) + 32.813 us   |    } /* handle_mm_fault */
 0)   0.052 us    |    up_read();
 0) + 35.453 us   |  } /* __do_page_fault */
 0)               |  __do_page_fault() {
 0)   0.052 us    |    down_read_trylock();
 0)   0.052 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.098 us    |      vmacache_find();
 0)   0.389 us    |    }
 0)               |    handle_mm_fault() {
 0)               |      do_read_fault.isra.54() {
 0)   0.078 us    |        _raw_spin_lock();
 0)               |        filemap_map_pages() {
 0)               |          do_set_pte() {
 0)   0.054 us    |            add_mm_counter_fast();
 0)   0.056 us    |            page_add_file_rmap();
 0)   0.717 us    |          }
 0)               |          unlock_page() {
 0)   0.080 us    |            page_waitqueue();
 0)   0.126 us    |            __wake_up_bit();
 0)   0.735 us    |          }
 0)               |          do_set_pte() {
 0)   0.051 us    |            add_mm_counter_fast();
 0)   0.052 us    |            page_add_file_rmap();
 0)   0.641 us    |          }
 0)               |          unlock_page() {
 0)   0.053 us    |            page_waitqueue();
 0)   0.126 us    |            __wake_up_bit();
 0)   0.701 us    |          }
 0)               |          do_set_pte() {
 0)   0.052 us    |            add_mm_counter_fast();
 0)   0.053 us    |            page_add_file_rmap();
 0)   0.642 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.117 us    |            __wake_up_bit();
 0)   0.697 us    |          }
 0)               |          do_set_pte() {
 0)   0.053 us    |            add_mm_counter_fast();
 0)   0.053 us    |            page_add_file_rmap();
 0)   0.642 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.123 us    |            __wake_up_bit();
 0)   0.703 us    |          }
 0)               |          do_set_pte() {
 0)   0.054 us    |            add_mm_counter_fast();
 0)   0.054 us    |            page_add_file_rmap();
 0)   0.668 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.120 us    |            __wake_up_bit();
 0)   0.700 us    |          }
 0)               |          do_set_pte() {
 0)   0.050 us    |            add_mm_counter_fast();
 0)   0.054 us    |            page_add_file_rmap();
 0)   0.642 us    |          }
 0)               |          unlock_page() {
 0)   0.053 us    |            page_waitqueue();
 0)   0.113 us    |            __wake_up_bit();
 0)   0.688 us    |          }
 0)               |          do_set_pte() {
 0)   0.052 us    |            add_mm_counter_fast();
 0)   0.054 us    |            page_add_file_rmap();
 0)   0.644 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.121 us    |            __wake_up_bit();
 0)   0.970 us    |          }
 0)               |          do_set_pte() {
 0)   0.084 us    |            add_mm_counter_fast();
 0)   0.055 us    |            page_add_file_rmap();
 0)   0.769 us    |          }
 0)               |          unlock_page() {
 0)   0.051 us    |            page_waitqueue();
 0)   0.114 us    |            __wake_up_bit();
 0)   0.775 us    |          }
 0)               |          do_set_pte() {
 0)   0.054 us    |            add_mm_counter_fast();
 0)   0.054 us    |            page_add_file_rmap();
 0)   0.695 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.134 us    |            __wake_up_bit();
 0)   0.708 us    |          }
 0)               |          do_set_pte() {
 0)   0.053 us    |            add_mm_counter_fast();
 0)   0.054 us    |            page_add_file_rmap();
 0)   0.645 us    |          }
 0)               |          unlock_page() {
 0)   0.055 us    |            page_waitqueue();
 0)   0.133 us    |            __wake_up_bit();
 0)   0.708 us    |          }
 0)               |          do_set_pte() {
 0)   0.051 us    |            add_mm_counter_fast();
 0)   0.054 us    |            page_add_file_rmap();
 0)   0.663 us    |          }
 0)               |          unlock_page() {
 0)   0.053 us    |            page_waitqueue();
 0)   0.127 us    |            __wake_up_bit();
 0)   0.732 us    |          }
 0)               |          do_set_pte() {
 0)   0.053 us    |            add_mm_counter_fast();
 0)   0.053 us    |            page_add_file_rmap();
 0)   0.647 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.129 us    |            __wake_up_bit();
 0)   0.707 us    |          }
 0)               |          do_set_pte() {
 0)   0.055 us    |            add_mm_counter_fast();
 0)   0.055 us    |            page_add_file_rmap();
 0)   0.652 us    |          }
 0)               |          unlock_page() {
 0)   0.053 us    |            page_waitqueue();
 0)   0.113 us    |            __wake_up_bit();
 0)   0.689 us    |          }
 0)               |          do_set_pte() {
 0)   0.052 us    |            add_mm_counter_fast();
 0)   0.055 us    |            page_add_file_rmap();
 0)   0.668 us    |          }
 0)               |          unlock_page() {
 0)   0.053 us    |            page_waitqueue();
 0)   0.129 us    |            __wake_up_bit();
 0)   0.711 us    |          }
 0)               |          do_set_pte() {
 0)   0.051 us    |            add_mm_counter_fast();
 0)   0.054 us    |            page_add_file_rmap();
 0)   0.643 us    |          }
 0)               |          unlock_page() {
 0)   0.055 us    |            page_waitqueue();
 0)   0.126 us    |            __wake_up_bit();
 0)   0.704 us    |          }
 0)               |          do_set_pte() {
 0)   0.053 us    |            add_mm_counter_fast();
 0)   0.063 us    |            page_add_file_rmap();
 0)   0.802 us    |          }
 0)               |          unlock_page() {
 0)   0.245 us    |            page_waitqueue();
 0)   0.133 us    |            __wake_up_bit();
 0)   1.009 us    |          }
 0) + 31.157 us   |        }
 0) + 31.838 us   |      }
 0) + 32.162 us   |    }
 0)   0.052 us    |    up_read();
 0) + 34.170 us   |  }
 0)               |  __do_page_fault() {
 0)   0.054 us    |    down_read_trylock();
 0)   0.054 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.126 us    |      vmacache_find();
 0)   0.052 us    |      vmacache_update();
 0)   0.768 us    |    }
 0)               |    handle_mm_fault() {
 0)   0.052 us    |      _raw_spin_lock();
 0)   0.422 us    |    }
 0)   0.054 us    |    up_read();
 0)   2.638 us    |  }
 0)               |  __do_page_fault() {
 0)   0.053 us    |    down_read_trylock();
 0)   0.049 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.106 us    |      vmacache_find();
 0)   0.399 us    |    }
 0)               |    handle_mm_fault() {
 0)   0.055 us    |      _raw_spin_lock();
 0)               |      do_wp_page() {
 0)   0.083 us    |        vm_normal_page();
 0)               |        anon_vma_prepare() {
 0)   0.054 us    |          _cond_resched();
 0)               |          kmem_cache_alloc() {
 0)   0.052 us    |            _cond_resched();
 0)   0.417 us    |          }
 0)               |          find_mergeable_anon_vma() {
 0)   0.094 us    |            reusable_anon_vma();
 0)   0.080 us    |            reusable_anon_vma();
 0)   0.698 us    |          }
 0)               |          kmem_cache_alloc() {
 0)   0.054 us    |            _cond_resched();
 0)   0.446 us    |          }
 0)               |          down_write() {
 0)   0.051 us    |            _cond_resched();
 0)   0.392 us    |          }
 0)   0.052 us    |          _raw_spin_lock();
 0)   0.371 us    |          anon_vma_interval_tree_insert();
 0)   0.052 us    |          up_write();
 0)   4.911 us    |        }
 0)               |        alloc_pages_vma() {
 0)   0.065 us    |          get_vma_policy();
 0)   0.055 us    |          policy_nodemask();
 0)   0.055 us    |          policy_zonelist();
 0)               |          __alloc_pages_nodemask() {
 0)   0.054 us    |            _cond_resched();
 0)   0.065 us    |            next_zones_zonelist();
 0)               |            get_page_from_freelist() {
 0)   0.053 us    |              next_zones_zonelist();
 0)   0.053 us    |              next_zones_zonelist();
 0)   0.051 us    |              __zone_watermark_ok();
 0)   0.054 us    |              __mod_zone_page_state();
 0)               |              zone_statistics() {
 0)   0.054 us    |                __inc_zone_state();
 0)   0.050 us    |                __inc_zone_state();
 0)   0.632 us    |              }
 0)   3.202 us    |            }
 0)   4.109 us    |          }
 0)   5.297 us    |        }
 0)   0.054 us    |        mem_cgroup_charge_anon();
 0)   0.053 us    |        _raw_spin_lock();
 0)   0.054 us    |        add_mm_counter_fast();
 0)               |        ptep_clear_flush() {
 0)   0.404 us    |          flush_tlb_page();
 0)   0.906 us    |        }
 0)               |        page_add_new_anon_rmap() {
 0)   0.052 us    |          __mod_zone_page_state();
 0)               |          lru_cache_add() {
 0)   0.103 us    |            __lru_cache_add();
 0)   0.388 us    |          }
 0)   1.211 us    |        }
 0) + 14.833 us   |      }
 0) + 15.498 us   |    }
 0)   0.051 us    |    up_read();
 0) + 17.345 us   |  }
 0)               |  __do_page_fault() {
 0)   0.052 us    |    down_read_trylock();
 0)   0.052 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.075 us    |      vmacache_find();
 0)   0.361 us    |    }
 0)               |    handle_mm_fault() {
 0)               |      do_read_fault.isra.54() {
 0)   0.051 us    |        _raw_spin_lock();
 0)               |        filemap_map_pages() {
 0)               |          do_set_pte() {
 0)   0.052 us    |            add_mm_counter_fast();
 0)   0.056 us    |            page_add_file_rmap();
 0)   0.642 us    |          }
 0)               |          unlock_page() {
 0)   0.055 us    |            page_waitqueue();
 0)   0.128 us    |            __wake_up_bit();
 0)   0.708 us    |          }
 0)               |          do_set_pte() {
 0)   0.054 us    |            add_mm_counter_fast();
 0)   0.054 us    |            page_add_file_rmap();
 0)   0.643 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.130 us    |            __wake_up_bit();
 0)   0.703 us    |          }
 0)               |          do_set_pte() {
 0)   0.050 us    |            add_mm_counter_fast();
 0)   0.052 us    |            page_add_file_rmap();
 0)   0.668 us    |          }
 0)               |          unlock_page() {
 0)   0.054 us    |            page_waitqueue();
 0)   0.125 us    |            __wake_up_bit();
 0)   0.700 us    |          }
 0)               |          do_set_pte() {
 0)   0.051 us    |            add_mm_counter_fast();
 0)   0.055 us    |            page_add_file_rmap();
 0)   0.643 us    |          }
 0)               |          unlock_page() {
 0)   0.051 us    |            page_waitqueue();
 0)   0.123 us    |            __wake_up_bit();
 0)   0.700 us    |          }
 0)               |          do_set_pte() {
 0)   0.052 us    |            add_mm_counter_fast();
 0)   0.051 us    |            page_add_file_rmap();
 0)   0.641 us    |          }
 0)               |          unlock_page() {
 0)   0.051 us    |            page_waitqueue();
 0)   0.118 us    |            __wake_up_bit();
 0)   0.716 us    |          }
