# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  0)   0.674 us    |          } /* page_add_file_rmap */
  0)   1.637 us    |        } /* do_set_pte */
  0)               |        unlock_page() {
  0)   0.123 us    |          __wake_up_bit();
  0)   0.526 us    |        }
  0)               |        do_set_pte() {
  0)   0.096 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.054 us    |            mem_cgroup_begin_page_stat();
  0)   0.098 us    |            mem_cgroup_end_page_stat();
  0)   0.769 us    |          }
  0)   1.578 us    |        }
  0)               |        unlock_page() {
  0)   0.118 us    |          __wake_up_bit();
  0)   0.472 us    |        }
  0)               |        do_set_pte() {
  0)   0.054 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.060 us    |            mem_cgroup_begin_page_stat();
  0)   0.058 us    |            mem_cgroup_end_page_stat();
  0)   0.675 us    |          }
  0)   1.334 us    |        }
  0)               |        unlock_page() {
  0)   0.172 us    |          __wake_up_bit();
  0)   0.488 us    |        }
  0)               |        do_set_pte() {
  0)   0.052 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.060 us    |            mem_cgroup_begin_page_stat();
  0)   0.058 us    |            mem_cgroup_end_page_stat();
  0)   0.680 us    |          }
  0)   1.308 us    |        }
  0)               |        unlock_page() {
  0)   0.117 us    |          __wake_up_bit();
  0)   0.437 us    |        }
  0)               |        do_set_pte() {
  0)   0.055 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.055 us    |            mem_cgroup_begin_page_stat();
  0)   0.053 us    |            mem_cgroup_end_page_stat();
  0)   0.695 us    |          }
  0)   1.323 us    |        }
  0)               |        unlock_page() {
  0)   0.119 us    |          __wake_up_bit();
  0)   0.435 us    |        }
  0)               |        do_set_pte() {
  0)   0.060 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.055 us    |            mem_cgroup_begin_page_stat();
  0)   0.053 us    |            mem_cgroup_end_page_stat();
  0)   0.674 us    |          }
  0)   1.313 us    |        }
  0)               |        unlock_page() {
  0)   0.131 us    |          __wake_up_bit();
  0)   0.449 us    |        }
  0)               |        do_set_pte() {
  0)   0.053 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.055 us    |            mem_cgroup_begin_page_stat();
  0)   0.052 us    |            mem_cgroup_end_page_stat();
  0)   0.675 us    |          }
  0)   1.334 us    |        }
  0)               |        unlock_page() {
  0)   0.116 us    |          __wake_up_bit();
  0)   0.429 us    |        }
  0)               |        do_set_pte() {
  0)   0.059 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.054 us    |            mem_cgroup_begin_page_stat();
  0)   0.051 us    |            mem_cgroup_end_page_stat();
  0)   0.680 us    |          }
  0)   1.308 us    |        }
  0)               |        unlock_page() {
  0)   0.051 us    |          __wake_up_bit();
  0)   0.552 us    |        }
  0)               |        do_set_pte() {
  0)   0.053 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.055 us    |            mem_cgroup_begin_page_stat();
  0)   0.060 us    |            mem_cgroup_end_page_stat();
  0)   0.716 us    |          }
  0)   1.344 us    |        }
  0)               |        unlock_page() {
  0)   0.118 us    |          __wake_up_bit();
  0)   0.512 us    |        }
  0)               |        do_set_pte() {
  0)   0.055 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
