# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.062 us    |                              } /* free_pages_prepare */
 0)   0.052 us    |                              get_pfnblock_flags_mask();
 0)   1.108 us    |                            } /* free_hot_cold_page */
 0)               |                            free_hot_cold_page() {
 0)   0.054 us    |                              free_pages_prepare();
 0)   0.053 us    |                              get_pfnblock_flags_mask();
 0)   0.660 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.058 us    |                              free_pages_prepare();
 0)   0.053 us    |                              get_pfnblock_flags_mask();
 0)   0.855 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.058 us    |                              free_pages_prepare();
 0)   0.052 us    |                              get_pfnblock_flags_mask();
 0)   0.747 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.060 us    |                              free_pages_prepare();
 0)   0.052 us    |                              get_pfnblock_flags_mask();
 0)   0.656 us    |                            }
 0)   5.483 us    |                          } /* free_hot_cold_page_list */
 0) + 11.180 us   |                        } /* release_pages */
 0)               |                        release_pages() {
 0)   0.054 us    |                          _raw_spin_lock_irqsave();
 0)   0.054 us    |                          mem_cgroup_page_lruvec();
 0)   0.052 us    |                          mem_cgroup_update_lru_size();
 0)   0.053 us    |                          __mod_zone_page_state();
 0)   0.051 us    |                          mem_cgroup_page_lruvec();
 0)   0.053 us    |                          mem_cgroup_update_lru_size();
 0)   0.054 us    |                          __mod_zone_page_state();
 0)   0.052 us    |                          mem_cgroup_page_lruvec();
 0)   0.052 us    |                          mem_cgroup_update_lru_size();
 0)   0.050 us    |                          __mod_zone_page_state();
 0)   0.051 us    |                          mem_cgroup_page_lruvec();
 0)   0.055 us    |                          mem_cgroup_update_lru_size();
 0)   0.055 us    |                          __mod_zone_page_state();
 0)   0.060 us    |                          _raw_spin_unlock_irqrestore();
 0)               |                          free_hot_cold_page_list() {
 0)               |                            free_hot_cold_page() {
 0)   0.059 us    |                              free_pages_prepare();
 0)   0.053 us    |                              get_pfnblock_flags_mask();
 0)   0.690 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.056 us    |                              free_pages_prepare();
 0)   0.053 us    |                              get_pfnblock_flags_mask();
 0)   0.656 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.060 us    |                              free_pages_prepare();
 0)   0.052 us    |                              get_pfnblock_flags_mask();
 0)   0.660 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.058 us    |                              free_pages_prepare();
 0)   0.054 us    |                              get_pfnblock_flags_mask();
 0)   0.663 us    |                            }
 0)   3.692 us    |                          }
 0)   8.374 us    |                        }
 0)               |                        release_pages() {
 0)   0.053 us    |                          _raw_spin_lock_irqsave();
 0)   0.050 us    |                          mem_cgroup_page_lruvec();
 0)   0.050 us    |                          mem_cgroup_update_lru_size();
 0)   0.051 us    |                          __mod_zone_page_state();
 0)   0.060 us    |                          _raw_spin_unlock_irqrestore();
 0)               |                          free_hot_cold_page_list() {
 0)               |                            free_hot_cold_page() {
 0)   0.059 us    |                              free_pages_prepare();
 0)   0.054 us    |                              get_pfnblock_flags_mask();
 0)   0.915 us    |                            }
 0)   1.214 us    |                          }
 0)   3.204 us    |                        }
 0)               |                        release_pages() {
 0)   0.053 us    |                          _raw_spin_lock_irqsave();
 0)   0.051 us    |                          mem_cgroup_page_lruvec();
 0)   0.053 us    |                          mem_cgroup_update_lru_size();
 0)   0.120 us    |                          __mod_zone_page_state();
 0)   0.120 us    |                          mem_cgroup_page_lruvec();
 0)   0.050 us    |                          mem_cgroup_update_lru_size();
 0)   0.052 us    |                          __mod_zone_page_state();
 0)   0.062 us    |                          _raw_spin_unlock_irqrestore();
 0)               |                          free_hot_cold_page_list() {
 0)               |                            free_hot_cold_page() {
 0)   0.058 us    |                              free_pages_prepare();
 0)   0.054 us    |                              get_pfnblock_flags_mask();
 0)   0.668 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.059 us    |                              free_pages_prepare();
